Core.size Pan.size BIC LogLikelihood
2 components 9815 33648 198886.077102331 -99427.4031661459
3 components 9582 33703 158197.814621797 -79072.848335866
4 components 8578 33726 156358.187271622 -78142.611070765
5 components 8599 33727 156379.098611083 -78142.6431504824
6 components 8608 33727 156400.208818686 -78142.7746642712
7 components 8587 33727 156421.554569768 -78143.0239497991
8 components 8550 33726 156442.356897613 -78143.0015237084
9 components 8200 33726 156456.444097821 -78139.6215337993
10 components 8013 33726 156480.490536865 -78141.2211633082
Sample 9798 33644 NA NA
